NomFAS,Risk,Situation,PreventiveMeasure
Pool maintenance and cleaning,Mechanical risks,"Maintenance, repair and unblocking",Apply the de-energizing and lockout procedures
Pool maintenance and cleaning,General risks,Completing the task,Train workers on tasks and risks
Pool maintenance and cleaning,General risks,Completing the task,Comply with applicable safety measures
Pool maintenance and cleaning,Contact with chemicals and/or chemical reaction,Handling of chemicals,Provide adequate general ventilation according to regulations
Pool maintenance and cleaning,Tripping,Pool maintenance and cleaning,Wear non-slip shoes
Pool maintenance and cleaning,Falling from a height,Pool maintenance and cleaning,Wear non-slip shoes
Pool maintenance and cleaning,Awkward postures,Pool maintenance and cleaning,Wear non-slip shoes
Portable ladder,General risks,Completing the task,Comply with applicable safety measures
Portable ladder,General risks,Completing the task,Train workers on tasks and risks
Portable ladder,Falling from a height Tripping,Use of a portable ladder,Make sure the workspace is clear and unobstructed
Portable ladder,General risks,Completing the task,Implement techniques which reduce working at heights
Portable ladder,Falling from a height Tripping,Use of a portable ladder,Use a type I or II equipment of appropriate length
Portable ladder,Falling from a height Tripping,Use of a portable ladder,Place the ladder at the appropriate angle of inclination: a distance equivalent to ¼ of the total working depth of the ladder must separate the base of the ladder from the base of the wall
Portable ladder,Falling from a height Tripping,Use of a portable ladder,"Position the ladder on a level, non-slip surface and push it in firmly at the top of both rails"
Portable ladder,Falling from a height Tripping,Use of a portable ladder,Allow the ladder to extend by at least 1 metre above the area you're trying to reach
Portable ladder,Falling from a height Tripping,Use of a portable ladder,Ask a colleague to hold the ladder in place
Portable ladder,Falling from a height Tripping,Use of a portable ladder,Maintain a three-point contact when climbing up and down the ladder
Portable ladder,Falling from a height,Working at more than 3 m (10 ft) height,Wear a safety harness connected to a shock absorbing lanyard and to an anchorage (limit the free fall distance to 1.2m (4 ft))
Portable ladder,Falling from a height,Working at more than 3 m (10 ft) height,"Store the harness in a dry and well-ventilated place and away from heat, sunlight and corrosive fumes"
Portable ladder,Contact with an electrical source,Working near power lines,"Respect the minimum working distances to electrical lines, as recommended by Hydro-Québec < 125 kV: 3 m (10 ft) 125-250kV: 5m (17ft) 250-550 kV: 8 m (27 ft) < 500 kV: 12 m (40 ft)"
Portable ladder,Contact with an electrical source,Working near power lines,Use a ladder of a class that is appropriate for the work to be performed
Portable ladder,Falling objects,Movement of pedestrians,Establish a security perimeter
Portable ladder,Falling objects,Handling loads at height,Use a tool belt to carry your tools and follow a system for lifting loads
Regular maintenance work,Contact with hazardous products,while cleaning a surface,Read the safety sheet to find out of about the hazards of cleaning supplies
Regular maintenance work,Exertion,Moving loads,Use the manual handling method by bending the knees and keeping the back straight to lift and put down a load
Regular maintenance work,Falling from a height,Complete the task while standing on a stepladder or ladder,Make sure to use a stepladder or ladder of sufficient length
Regular maintenance work,Falling from a height,Complete the task while standing on a stepladder or ladder,Follow the procedure for working at heights
Regular maintenance work,Heat exposure,Working outdoors in hot weather,"Respect the amount of heavy work you can do, take breaks and drink a lot of water"
Regular maintenance work,Falling from a height,Complete the task while standing on a stepladder or ladder,Maintain a three-point contact when climbing up and down the ladder
Regular maintenance work,Exertion,Moving loads,"Use a mechanical aid (e.g., forklift, pallet jack, etc.)"
Regular maintenance work,Getting pulled into a moving part,Breakage or malfunction Changing tooling on equipment,Apply the de-energizing and lockout procedures
Regular maintenance work,General risks,Completing the task,Train workers on the task and its risks
Regular maintenance work,Tripping,on a slippery surface,Inspect the surface visually before starting work
Regular maintenance work,General risks,Completing the task,Comply with applicable safety measures
Regular maintenance work,Tripping,on objects left on the floor,Keep workspaces clean and unobstructed
Regular maintenance work,Exertion,Moving loads,Use lifting devices to minimize effort
Regular maintenance work,General risks,Completing the task,Attend the MANDATORY WHMIS training
Regular maintenance work,General risks,Completing the task,Wear the personal protective equipment required by the employer
Regular maintenance work,Cold exposure,Working outdoors in very cold weather,Wear the personal protective equipment required by the employer
Repair pit,General risks,Completing the task,See “additional information”
Repair pit,General risks,Completing the task,Follow the “instructions for heavy vehicles”
Repair pit,Fire Explosion,Petrol vapours or other flammable substances,"Ensure continuous ventilation (even when there are no operations) and according to regulations (12 room air changes/hour). The suction must be made from the lowest point (i.e., near the floor drain)"
Repair pit,Fire Explosion,Petrol vapours or other flammable substances,"Use Class 1, Zone 2 HLA explosion-proof equipment"
Repair pit,Fire Explosion,Petrol vapours or other flammable substances,Maintain adequate permanent lighting (can be done with sealed and approved fixtures)
Repair pit,Fire Explosion,Petrol vapours or other flammable substances,Prohibit work involving gasoline or other flammable materials within 6 m (20 ft) of a repair pit
Repair pit,Fire Explosion,Petrol vapours or other flammable substances,Establish an 11 m (35 ft) safety perimeter for welding and cutting work
Repair pit,Fire Explosion,Petrol vapours or other flammable substances,Have an ABC fire extinguisher nearby
Repair pit,Fire Explosion,Welding or cutting work,Keep away from all sources of ignition or use the “hot work procedures” when welding work is to be carried out in the pit
Repair pit,Impact with equipment or materials,Falling objects,Apply the procedures for supporting heavy parts
Repair pit,Impact with equipment or materials,Falling objects,Wear a safety helmet
Repair pit,Carbon monoxide poisoning,Poor ventilation Operation of vehicles nearby,Apply the procedures for connecting exhaust gas hoses
Repair pit,Carbon monoxide poisoning,Poor ventilation Operation of vehicles nearby,Prohibit the operation of vehicles near the pit
Repair pit,Carbon monoxide poisoning,Poor ventilation Operation of vehicles nearby,Have an air outlet near the ground
Repair pit,Falling from a height,Moving around the repair pit,Install a guardrail to prevent falls
Repair pit,Falling from a height,Moving around the repair pit,Delimit areas and prohibit traffic in the workspace
Repair pit,General risks,Completing the task,Comply with applicable safety measures; “refer to page”
Repair pit,General risks,Completing the task,Train workers on tasks and risks
Road work,General risks,Completing the task,Train workers on tasks and risks
Road work,General risks,Completing the task,Wear the personal protective equipment required by the employer
Road work,Impact with a vehicle or an obstacle,Using the vehicle,Adapt your driving to the weather conditions
Road work,Awkward postures,Using the vehicle,Adapt your driving to the weather conditions
Road work,Impact with a vehicle or obstacle,Using the vehicle,Adapt your driving to the weather conditions
Road work,General risks,Completing the task,Comply with applicable safety measures and the Highway Safety Code
Road work,Impact with a vehicle or an obstacle,Using the vehicle,Conduct a circle check using an established control list
Road work,Awkward postures,Using the vehicle,Conduct a circle check using an established control list
Road work,Impact with a vehicle or obstacle,Using the vehicle,Conduct a circle check using an established control list
Road work,Impact with a vehicle or an obstacle,Using the vehicle,Get information on road and weather conditions
Road work,Awkward postures,Using the vehicle,Get information on road and weather conditions
Road work,Impact with a vehicle or obstacle,Using the vehicle,Get information on road and weather conditions
Road work,Impact with a vehicle or an obstacle,Using the vehicle,"Plan your route to avoid dangerous, unknown or isolated sections of road"
Road work,Awkward postures,Using the vehicle,"Plan your route to avoid dangerous, unknown or isolated sections of road"
Road work,Impact with a vehicle or obstacle,Using the vehicle,"Plan your route to avoid dangerous, unknown or isolated sections of road"
Road work,Impact with a vehicle or an obstacle,Using the vehicle,"Adjust the vehicle components according to your size (mirrors, seat and steering wheel)"
Road work,Awkward postures,Using the vehicle,"Adjust the vehicle components according to your size (mirrors, seat and steering wheel)"
Road work,Impact with a vehicle or obstacle,Using the vehicle,"Adjust the vehicle components according to your size (mirrors, seat and steering wheel)"
Road work,Impact with a vehicle or an obstacle,Using the vehicle,Limit distractions
Road work,Awkward postures,Using the vehicle,Limit distractions
Road work,Impact with a vehicle or obstacle,Using the vehicle,Limit distractions
Road work,Impact with a vehicle or obstacle,Glare,Use the sun visor and sunglasses
Road work,Fatigue,Extension of working hours,Respect the rest periods
Road work,Fatigue,Extension of working hours,Stop in a safe place at the slightest sign of sleepiness
Road work,Flying objects,Sudden braking or emergency stop,Secure the goods transported in the vehicle and use the boot
Road works signage,General risks,Completing the task,"Wear yellow-green, opaque fluorescent clothing (jacket and pants) with retro-reflective stripes on the front, back and sides, and a safety helmet of the same colour"
Road works signage,Impact by a moving vehicle,Vehicle traffic,"Report any irregularities to the supervisor (e.g., careless driving)"
Road works signage,Muscular fatigue,Vehicle traffic,"Report any irregularities to the supervisor (e.g., careless driving)"
Road works signage,Impact by a moving vehicle,Vehicle traffic,"Stand upright, facing traffic, on the shoulder or in the obstructed lane, where it is easy to direct traffic"
Road works signage,Muscular fatigue,Vehicle traffic,"Stand upright, facing traffic, on the shoulder or in the obstructed lane, where it is easy to direct traffic"
Road works signage,Impact by a moving vehicle,Vehicle traffic,Be attentive and do not be distracted by the surrounding activities
Road works signage,Muscular fatigue,Vehicle traffic,Be attentive and do not be distracted by the surrounding activities
Road works signage,Impact by a moving vehicle,Vehicle traffic,Direct traffic by transmitting accurate and consistent signals
Road works signage,Muscular fatigue,Vehicle traffic,Direct traffic by transmitting accurate and consistent signals
Road works signage,Exposure to heat,Completing the task,Increase your water consumption
Road works signage,Exposure to cold,Completing the task,Increase your water consumption
Road works signage,Noise exposure,Completing the task,Increase your water consumption
Road works signage,Projection of debris or dust,Completing the task,Increase your water consumption
Road works signage,Exposure to heat,Completing the task,Adjust breaks according to temperature
Road works signage,Exposure to cold,Completing the task,Adjust breaks according to temperature
Road works signage,Noise exposure,Completing the task,Adjust breaks according to temperature
Road works signage,Projection of debris or dust,Completing the task,Adjust breaks according to temperature
Road works signage,Inhalation,Work producing hazardous materials,Wear an appropriate mask
Road works signage,Verbal assault,Dissatisfaction of a road user,Remain calm and diplomatic no matter what happens and avoid the outbursts of anger
Road works signage,Physical assault,Dissatisfaction of a road user,Remain calm and diplomatic no matter what happens and avoid the outbursts of anger
Road works signage,Verbal assault,Dissatisfaction of a road user,Leave the premises if the road user shows signs of aggression
Road works signage,Physical assault,Dissatisfaction of a road user,Leave the premises if the road user shows signs of aggression
Road works signage,Impact by a moving vehicle,Vehicle traffic,Keep a proper posture and avoid twisting
Road works signage,Muscular fatigue,Vehicle traffic,Keep a proper posture and avoid twisting
Road works signage,Exposure to cold,Completing the task,Wear hearing protectors
Road works signage,Noise exposure,Completing the task,Wear hearing protectors
Road works signage,Projection of debris or dust,Completing the task,Wear hearing protectors
Road works signage,Exposure to heat,Completing the task,Wear hearing protectors
Road works signage,Exposure to heat,Completing the task,Wear clothing appropriate for the weather conditions
Road works signage,Exposure to cold,Completing the task,Wear clothing appropriate for the weather conditions
Road works signage,Noise exposure,Completing the task,Wear clothing appropriate for the weather conditions
Road works signage,Projection of debris or dust,Completing the task,Wear clothing appropriate for the weather conditions
Road works signage,Exposure to heat,Completing the task,Wear safety goggles
Road works signage,Exposure to cold,Completing the task,Wear safety goggles
Road works signage,Noise exposure,Completing the task,Wear safety goggles
Road works signage,Projection of debris or dust,Completing the task,Wear safety goggles
Road works signage,General risks,Completing the task,Comply with applicable safety measures
Road works signage,General risks,Completing the task,Train workers on tasks and risks
Roller compactor,General risks,Completing the task,Comply with applicable safety measures
Roller compactor,General risks,Completing the task,Train workers on tasks and risks
Roller compactor,Hitting or crushing a pedestrian,Moving the equipment,"Adjust the speed according to the presence of pedestrians, the visibility, the ground condition and the load"
Roller compactor,"Exposure to heat, cold or bad weather",Working outdoors,Wear clothing appropriate for the weather conditions
Roller compactor,Hitting or crushing a pedestrian,Moving the equipment,Make sure that the workspace is clear and unobstructed
Roller compactor,Getting crushed by the overturning of the roller,Moving the equipment,Wear the seat belt before starting the vehicle
Roller compactor,Noise exposure,Driving the roller compactor,Wear hearing protectors
Roller compactor,General risks,Completing the task,Wear the personal protective equipment required by the employer
Roller compactor,Cuts,While getting on or off the vehicle,Wear gloves
Roller compactor,General risks,Completing the task,Attend MANDATORY training on the safe use of a roller compactor
Roller compactor,Hitting or crushing a pedestrian,Moving the equipment,Plan an effective communication system
Roller compactor,Hitting or crushing a pedestrian,Moving the equipment,Make sure that other workers stay at a safe distance
Roller compactor,Getting crushed by the overturning of the roller,Moving the equipment,Check the condition of the pavement and identify obstacles and gradients
Roller compactor,Getting crushed by the overturning of the roller,Moving the equipment,Always keep the equipment engaged and slow down when driving down a slope
Roller compactor,Getting crushed by the overturning of the roller,Moving the equipment,Use only ramps with sufficient load capacity when loading roller onto a trailer
Roller compactor,Getting crushed by the overturning of the roller,Moving the equipment,Make sure that the vehicle is stable during operation
Roller compactor,Falling from a height,While getting on or off the vehicle,Get on or off the roller by following the three-point contact rule
Roller compactor,Cuts,While getting on or off the vehicle,Don't wear jewelry
Roller compactor,Muscle fatigue due to poor posture or handling of controls,Driving the roller compactor,Adjust the workstation ergonomically
Safety of machinery,"Contact with a mechanical, electrical or thermal source",Machine maintenance,Apply the de-energizing and lockout procedures
Safety of machinery,"Contact with a mechanical, electrical or thermal source",Using the machine,Conduct an inventory of equipment
Safety of machinery,"Contact with a mechanical, electrical or thermal source",Using the machine,Analyze equipment hazards
Safety of machinery,"Contact with a mechanical, electrical or thermal source",Using the machine,"Install the appropriate guard - Barriers guards (fixed enclosure guard, pinch point guard, fixed distance barrier) - Moving guards (interlocking guard, power-operated guard, self-closing guard) - Other devices (pressure-sensitive mat, two-hand control, optical curtain, etc.)"
Safety of machinery,"Contact with a mechanical, electrical or thermal source",Using the machine,"Wear tight-fitting clothing, tie back long hair and avoid jewelry"
Safety of machinery,General risks,Completing the task,Train workers on tasks and risks
Safety of machinery,"Contact with a mechanical, electrical or thermal source",Using the machine,Use equipment only if it is equipped with guards or safety devices
Safety of machinery,General risks,Completing the task,Comply with applicable safety measures
Saw bench,General risks,Using the saw bench,Comply with applicable safety measures
Saw bench,General risks,Using the saw bench,Train workers on tasks and risks
Saw bench,General risks,Using the saw bench,"Wear tight-fitting clothing, tie back long hair and avoid jewelry"
Saw bench,Contact with a moving part,Maintenance,Apply the lockout procedure
Saw bench,General risks,Using the saw bench,"Make sure that the blade is correctly fixed to the shaft, that it is not warped or cracked, and that it is sharpened properly."
Saw bench,General risks,Using the saw bench,Allow the dust collector to run during operation
Saw bench,General risks,Using the saw bench,Check that the safety devices are working properly and use the guide and push stick at all times
Saw bench,Dust inhalation,No dust collector,Install a dust collector or wear a respirator
Saw bench,Cuts,No riving knife,Install a riving knife and an anti-kickback pawl
Saw bench,Cuts,No riving knife,Adjust the blade so that it does not protrude more than 10 mm above the object to be sawn
Saw bench,Cuts,No riving knife,Keep hands away from the blade
Saw bench,Shock from the recoil of a piece,No anti-kickback pawl,Check that the anti-kickback pawl is working properly
Saw bench,"Projection of particles, materials or blade splinters",Presence of objects,"Examine wood before working on it, i.e. remove nails, screws, metal pieces, etc."
Saw bench,"Projection of particles, materials or blade splinters",No blade guard,Keep the blade guard in place at all times
Saw bench,Muscular fatigue,Bulky pieces,Get help with long or heavy pieces
Saw bench,Noise exposure,Using the saw bench,Wear hearing protectors when there is more than one device in operation in a workshop or during prolonged use
Saw bench,Tripping,Presence of residues or objects on the floor,Keep the workspace clean and unobstructed
Snow plow,Exposure to cold,Broken down or bogged down snow plow,Make sure you have a tool kit and an emergency communication tool
Snow plow,Collision with a vehicle or pedestrian,Driving the snowplow,Adapt your driving to the weather conditions
Snow plow,Collision with a vehicle or pedestrian,Driving the snowplow,"Make sure you have good visibility: take the time to check the windows and mirrors for cleanliness, position your seat appropriately and adjust the mirrors"
Snow plow,Collision with a vehicle or pedestrian,Driving the snowplow,Remove any objects from the cab floor that may interfere with the operation of the vehicle
Snow plow,Collision with a vehicle or pedestrian,Driving the snowplow,Be alert to the presence of vehicles and pedestrians at all times
Snow plow,Collision with a vehicle or pedestrian,Driving the snowplow,Use the flashing light and the signal arrow throughout the operation
Snow plow,Collision with a vehicle or pedestrian,Vehicle traffic near the breakdown site,"Report your presence during a breakdown or repair (flare, reflector, lamp, etc.)"
Snow plow,Falling from a height,Getting in or out of the snow plow,Apply the three-point contact procedure when getting in and out of your vehicle
Snow plow,Falling from a height,Getting in or out of the snow plow,Clean the vehicle’s running board that allows access to the cab
Snow plow,General risks,Completing the task,Attend a specific MANDATORY training course on driving a snow plow
Snow plow,Road traffic accident,Mechanical failure or breakdown,"Carry out the inspection before departure and complete the register (hydraulic system, braking, lighting system, horn, etc.)"
Snow plow,Exposure to cold,Broken down or bogged down snow plow,Wear the appropriate clothes for the task at hand
Snow plow,Collision with a vehicle or pedestrian,Driving the snowplow,Respect the traffic safety code
Snow plow,General risks,Completing the task,Train workers on tasks and risks
Snow plow,General risks,Completing the task,Comply with applicable safety measures
Step ladder,General risks,Using the step ladder,Comply with applicable safety measures
Step ladder,Falling from a height,Using the step ladder,Comply with applicable safety measures
Step ladder,Tripping,Using the step ladder,Comply with applicable safety measures
Step ladder,Contact with an electrical source,Using the step ladder,Comply with applicable safety measures
Step ladder,General risks,Using the step ladder,Make sure the workspace is clear and unobstructed
Step ladder,Falling from a height,Using the step ladder,Make sure the workspace is clear and unobstructed
Step ladder,Tripping,Using the step ladder,Make sure the workspace is clear and unobstructed
Step ladder,Contact with an electrical source,Using the step ladder,Make sure the workspace is clear and unobstructed
Step ladder,Contact with an electrical source,Using the step ladder,Use a type I or II step ladder of appropriate length
Step ladder,General risks,Using the step ladder,Use a type I or II step ladder of appropriate length
Step ladder,Falling from a height,Using the step ladder,Use a type I or II step ladder of appropriate length
Step ladder,Tripping,Using the step ladder,Use a type I or II step ladder of appropriate length
Step ladder,General risks,Using the step ladder,Prohibit the use of the shelf or the ladder’s top cap as a footrest
Step ladder,Falling from a height,Using the step ladder,Prohibit the use of the shelf or the ladder’s top cap as a footrest
Step ladder,Tripping,Using the step ladder,Prohibit the use of the shelf or the ladder’s top cap as a footrest
Step ladder,Contact with an electrical source,Using the step ladder,Prohibit the use of the shelf or the ladder’s top cap as a footrest
Step ladder,General risks,Using the step ladder,Wear the personal protective equipment required by the employer
Step ladder,Falling from a height,Using the step ladder,Wear the personal protective equipment required by the employer
Step ladder,Tripping,Using the step ladder,Wear the personal protective equipment required by the employer
Step ladder,Contact with an electrical source,Using the step ladder,Wear the personal protective equipment required by the employer
Step ladder,General risks,Using the step ladder,Train workers on tasks and risks related to working at heights
Step ladder,Falling from a height,Using the step ladder,Train workers on tasks and risks related to working at heights
Step ladder,Tripping,Using the step ladder,Train workers on tasks and risks related to working at heights
Step ladder,Contact with an electrical source,Using the step ladder,Train workers on tasks and risks related to working at heights
Step ladder,General risks,Using the step ladder,Position the step ladder properly on a stable and firm surface
Step ladder,Falling from a height,Using the step ladder,Position the step ladder properly on a stable and firm surface
Step ladder,Tripping,Using the step ladder,Position the step ladder properly on a stable and firm surface
Step ladder,Contact with an electrical source,Using the step ladder,Position the step ladder properly on a stable and firm surface
Step ladder,General risks,Using the step ladder,Place the ladder facing the work area and keep the body inside the rails
Step ladder,Falling from a height,Using the step ladder,Place the ladder facing the work area and keep the body inside the rails
Step ladder,Tripping,Using the step ladder,Place the ladder facing the work area and keep the body inside the rails
Step ladder,Contact with an electrical source,Using the step ladder,Place the ladder facing the work area and keep the body inside the rails
Step ladder,General risks,Using the step ladder,Climb facing the step ladder
Step ladder,Falling from a height,Using the step ladder,Climb facing the step ladder
Step ladder,Tripping,Using the step ladder,Climb facing the step ladder
Step ladder,Contact with an electrical source,Using the step ladder,Climb facing the step ladder
Step ladder,General risks,Using the step ladder,Keep a three-point contact when climbing up and down
Step ladder,Falling from a height,Using the step ladder,Keep a three-point contact when climbing up and down
Step ladder,Tripping,Using the step ladder,Keep a three-point contact when climbing up and down
Step ladder,Contact with an electrical source,Using the step ladder,Keep a three-point contact when climbing up and down
Step ladder,General risks,Using the step ladder,Use a step ladder of a class that is appropriate for the work to be performed
Step ladder,Falling from a height,Using the step ladder,Use a step ladder of a class that is appropriate for the work to be performed
Step ladder,Tripping,Using the step ladder,Use a step ladder of a class that is appropriate for the work to be performed
Step ladder,Contact with an electrical source,Using the step ladder,Use a step ladder of a class that is appropriate for the work to be performed
Step ladder,Falling from a height,Working at more than 10-feet height,Wear a safety harness connected to a shock absorbing lanyard and to an anchorage (limit the free fall distance to 1.2m)
Storing materials,Falling from a height,Using a step ladder,"Position the step ladder on a stable and firm surface, facing the work area"
Storing materials,Falling from a height,Using a step ladder,Maintain a three-point contact when climbing up and down and keep the body inside the rails
Storing materials,Falling from a height,Using a step ladder,Prohibit the use of the shelf or the ladder’s top cap as a footrest
Storing materials,Falling from a height,Using a step ladder,Use a type I or II step ladder of appropriate length
Storing materials,Falling objects,Defective shelves,Adhere to the load carrying charge indicated on the shelving
Storing materials,Collapsing pallets,Lack of anchoring,Secure the shelving with floor or wall anchors
Storing materials,Collapsing pallets,Moving equipment,"Install corner guards to protect rolling equipment (e.g., forklifts, pallet jacks, etc.)"
Storing materials,Awkward postures,Handling loads,Adjust the height of the racks to minimize awkward postures
Storing materials,Awkward postures,Handling loads,Avoid twisting while lifting
Storing materials,Awkward postures,Handling loads,"Use a mechanical aid (e.g., forklift, pallet jack, etc.) or ask for help"
Storing materials,Awkward postures,Handling loads,Store heavy or large loads on the bottom shelves
Storing materials,Flying glass,Bursting of fluorescent tubes,Add a grill or a transparent cover and limit the height of the material
Storing materials,Flying glass,Bursting of fluorescent tubes,Make sure the workspace is clear and unobstructed
Storing materials,Falling objects,Unstable materiel,Store materials in a stable manner
Storing materials,General risks,Completing the task,Comply with applicable safety measures
Storing materials,General risks,Completing the task,Train workers on tasks and risks
Surfacing,General risks,Completing the task,Comply with applicable safety measures
Surfacing,General risks,Completing the task,Train workers on tasks and risks
Surfacing,Excessive stress Awkward postures,Asphalt handling Heavy equipment handling,Spread small quantities and avoid torsions
Surfacing,Excessive stress Awkward postures,Asphalt handling Heavy equipment handling,"Use task-specific tools (short or long-sleeve shovels and rakes, made of aluminum, etc.)"
Surfacing,Burns,Handling of hot asphalt,Wear suitable protective clothing
Surfacing,Inhalation poisoning of toxic vapours or carbon monoxide,"Surfacing work in a confined area (tunnel, indoor parking, etc.)",Ensure adequate ventilation
Surfacing,Fire,Surfacing work,Equip all vehicles with fire extinguishers and never use water in case of fire
Surfacing,Fire,Surfacing work,Fill the fuel tanks only when the machines are cold
Surfacing,Fire,Surfacing work,Avoid sources of ignition during surfacing (high-temperature asphalt fumes are flammable)
Surfacing,Thermal stress,Prolonged exposure to heat,Drink a lot of water and take regular breaks
Surfacing,"Getting hit by vehicle, equipment or material",Surfacing work,Wear clothing with reflective stripes
Surfacing,"Getting hit by vehicle, equipment or material",Surfacing work,Ask for the help of a signalman for reversing vehicles
Surfacing,"Getting hit by vehicle, equipment or material",Surfacing work,Work at least 3 m away from vehicles
Surfacing,"Getting hit by vehicle, equipment or material",Surfacing work,Maintain a distance of 8 m between the paver and the roller
Surfacing,Excessive stress Awkward postures,Asphalt handling Heavy equipment handling,Ask a colleague for help
Surfacing,General risks,Completing the task,Attend the MANDATORY WHMIS training
Surfacing,Noise exposure,Surfacing work,Wear hearing protectors
Table service,General risks,Completing the task,Wear the personal protective equipment required by the employer
Table service,Cuts,Contact with broken glass or broken plates,Wear gloves
Table service,General risks,Completing the task,Comply with applicable safety measures
Table service,General risks,Completing the task,Train workers on the task and its risks
Table service,Cuts,Contact with broken glass or broken plates,Use a broom and a dustpan
Table service,Contact with a hot surface,Completing the task,Use dry-cotton cloths to handle hot plates
Table service,Cuts with a chipped pitcher or glass cup,Filling ice cubes from a pitcher or cup,Use an ice scoop
Table service,Tripping,Presence of wet residue or liquids on the floor,"Repair and clean the floor: uneven surfaces, holes, slippery floors, etc."
Table service,Workplace violence,Contact with an aggressive customer,Follow management procedures for handling difficult or aggressive customers
Transportation of hazardous materials,Contact with chemicals Inhalation Asphyxia Fire or explosion,"Preparing the hazardous materials for transportation (handling, packaging, spilling)",Wear the appropriate clothes for the task at hand
Transportation of hazardous materials,General risks,Completing the task,Attend the MANDATORY training on Workplace Hazardous Materials Information System (WHMIS)
Transportation of hazardous materials,General risks,Completing the task,Attend the MANDATORY training on the transportation of hazardous materials
Transportation of hazardous materials,General risks,Completing the task,Have your training certificate with you at all times as it may be required during a roadside check
Transportation of hazardous materials,Contact with chemicals Inhalation Asphyxia Fire or explosion,"Preparing the hazardous materials for transportation (handling, packaging, spilling)","Pack the different products according to TDM requirements (e.g., quantity, labelling, product identification, etc.)"
Transportation of hazardous materials,Contact with chemicals Inhalation Asphyxia Fire or explosion,"Preparing the hazardous materials for transportation (handling, packaging, spilling)","Make sure that you know the specifications of the product classifications to be transported, check the packaging and the manifest"
Transportation of hazardous materials,Contact with chemicals Inhalation Asphyxia Fire or explosion,Transportation of dangerous materials,"Make sure that you know the specifications of the product classifications to be transported, check the packaging and the manifest"
Transportation of hazardous materials,Contact with chemicals Inhalation Asphyxia Fire or explosion,"Preparing the hazardous materials for transportation (handling, packaging, spilling)",Wear a respirator recommended in the spill safety data sheet
Transportation of hazardous materials,Contact with chemicals Inhalation Asphyxia Fire or explosion,"Preparing the hazardous materials for transportation (handling, packaging, spilling)",Prohibit any ignition source near flammable materials
Transportation of hazardous materials,Contact with chemicals Inhalation Asphyxia Fire or explosion,Transportation of dangerous materials,Familiarize yourself with and apply the emergency procedure and the emergency response plan if the goods being transported require it
Transportation of hazardous materials,Contact with chemicals Inhalation Asphyxia Fire or explosion,Transportation of dangerous materials,Prepare the shipping document and make sure all the necessary information appears on it
Transportation of hazardous materials,Contact with chemicals Inhalation Asphyxia Fire or explosion,Transportation of dangerous materials,Make sure you have the transport document with you before making the delivery
Transportation of hazardous materials,Contact with chemicals Inhalation Asphyxia Fire or explosion,Transportation of dangerous materials,Make sure you install the right plates on the truck
Transportation of hazardous materials,Contact with chemicals Inhalation Asphyxia Fire or explosion,Transportation of dangerous materials,"Apply the driving rules for transporting dangerous goods (e.g., stops at level crossing, tunnels, etc.)"
Transportation of hazardous materials,General risks,Completing the task,Train workers on tasks and risks
Transportation of hazardous materials,General risks,Completing the task,Comply with applicable safety measures
Transportation of hazardous materials,General risks,Completing the task,Wear the personal protective equipment required by the employer
Tripping,General risks,Completing the task or moving around,Comply with applicable safety measures
Tripping,General risks,Completing the task or moving around,Train workers on tasks and risks
Tripping,General risks,Completing the task or moving around,Wear appropriate shoes
Tripping,Tripping,Contact with objects left on the floor in the workspace,Maintain proper lighting
Tripping,Tripping,Contact with objects left on the floor in the workspace,Develop a cleanliness and tidiness policy
Tripping,Tripping,Water or ice on the floor,"Fix and clean the floor (use the adequate cleaner): uneven surfaces, holes, slippery floors, etc."
Tripping,Tripping,Water or ice on the floor,Make sure work surfaces are covered with slip-resistant materials
Tripping,Tripping,Contact with objects left on the floor in the workspace,"Repair and clean the floor: uneven surfaces, holes, slippery floors, etc."
Tripping,Tripping,Uneven surface or clear break in the floor,"Repair and clean the floor: uneven surfaces, holes, slippery floors, etc."
Vehicle hoist,Tripping,Presence of residues on the floor,"Repair and clean the floor: holes, slippery floors (e.g., antifreeze, oil, etc.)"
Vehicle hoist,Vehicle falling off hoist,Inadequate positioning of the manual swivel arm locks,Use equipment only if it is equipped with guards or safety devices
Vehicle hoist,General risks,Completing the task,Inspect the surface visually before starting work
Vehicle hoist,Vehicle falling off hoist,Inadequate positioning of the lift pads,Position the lift pads according to the bearing points recommended by the model and make of the vehicle.
Vehicle hoist,Vehicle falling off hoist,Inadequate positioning of the lift pads,"Use suitable support accessories (e.g., pads, extensions, etc.)"
Vehicle hoist,Vehicle falling off hoist,Lift pads skidding off the rust inhibitor or ice on the car chassis,Choose properly cleaned and de-iced support points underneath the lifted vehicle
Vehicle hoist,Vehicle falling off hoist,Lift pads skidding off the rust inhibitor or ice on the car chassis,Check the vehicle stability at 12 in (1 ft) maximum from the ground
Vehicle hoist,Vehicle falling off hoist,Lifting a vehicle incompatible with the type of hoist,Adhere to the load carrying charge indicated on the nameplate and make sure that the information is posted on the hoist
Vehicle hoist,Vehicle falling off hoist,Removal of a heavy part from the vehicle causing an unbalance between the lift points and the centre of gravity,Only lift vehicles without a heavy load in the rear
Vehicle hoist,Vehicle falling off hoist,Removal of a heavy part from the vehicle causing an unbalance between the lift points and the centre of gravity,Use support legs
Vehicle hoist,Impact against equipment or material,Lifting a vehicle with a defective hoist,Establish a safety perimeter of at least 6 ft (1.8 m) from the hoist
